condition,eval_domain,subset,contrast,n_tasks,estimate,ci_low,ci_high,replicates,population_key,replicate_array,units
original_bare,k0_8,all,rts_minus_immediate_oracle_minimum_errors,79,0.0759493670886076,-0.0759493670886076,0.24050632911392406,5000,p_ae2b966a2399,original_bare_k0_8_all,errors_per_task
original_bare,k0_8,partial,immediate_learned_minus_raw_accuracy,23,-0.024154589371980673,-0.06763285024154589,0.0,5000,p_4ef38ea9f428,original_bare_k0_8_partial,proportion
original_bare,k0_8,partial,immediate_learned_minus_raw_sequence_correct,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_bare_k0_8_partial,proportion
original_bare,k0_8,partial,immediate_raw_minus_learned_errors,23,-0.21739130434782608,-0.6086956521739131,0.0,5000,p_4ef38ea9f428,original_bare_k0_8_partial,errors_per_task
original_bare,k0_8,partial,immediate_learned_minus_oracle_errors,23,3.217391304347826,2.1739130434782608,4.260869565217392,5000,p_4ef38ea9f428,original_bare_k0_8_partial,errors_per_task
original_bare,k0_8,partial,rts_learned_minus_raw_accuracy,23,0.01449275362318841,-0.033816425120772944,0.05797101449275364,5000,p_4ef38ea9f428,original_bare_k0_8_partial,proportion
original_bare,k0_8,partial,rts_learned_minus_raw_sequence_correct,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_bare_k0_8_partial,proportion
original_bare,k0_8,partial,rts_raw_minus_learned_errors,23,0.13043478260869565,-0.30434782608695654,0.5217391304347826,5000,p_4ef38ea9f428,original_bare_k0_8_partial,errors_per_task
original_bare,k0_8,partial,rts_learned_minus_oracle_errors,23,1.1304347826086956,0.5217391304347826,1.7826086956521738,5000,p_4ef38ea9f428,original_bare_k0_8_partial,errors_per_task
original_bare,k0_8,partial,rts_minus_immediate_learned_accuracy,23,0.17391304347826086,0.09178743961352658,0.2560386473429952,5000,p_4ef38ea9f428,original_bare_k0_8_partial,proportion
original_bare,k0_8,partial,rts_minus_immediate_oracle_minimum_errors,23,0.5217391304347826,0.08695652173913043,0.9565217391304348,5000,p_4ef38ea9f428,original_bare_k0_8_partial,errors_per_task
original_bare,k1_8,all,immediate_learned_minus_raw_accuracy,79,-0.012658227848101266,-0.030063291139240507,0.0,5000,p_ae2b966a2399,original_bare_k1_8_all,proportion
original_bare,k1_8,all,immediate_learned_minus_raw_sequence_correct,79,0.0,0.0,0.0,5000,p_ae2b966a2399,original_bare_k1_8_all,proportion
original_bare,k1_8,all,immediate_raw_minus_learned_errors,79,-0.10126582278481013,-0.24050632911392406,0.0,5000,p_ae2b966a2399,original_bare_k1_8_all,errors_per_task
original_bare,k1_8,all,immediate_learned_minus_oracle_errors,79,1.8734177215189873,1.240506329113924,2.5443037974683542,5000,p_ae2b966a2399,original_bare_k1_8_all,errors_per_task
original_bare,k1_8,all,rts_learned_minus_raw_accuracy,79,-0.007911392405063292,-0.022151898734177215,0.006329113924050633,5000,p_ae2b966a2399,original_bare_k1_8_all,proportion
