contrast,subset,metric,n_paired,delta_right_minus_left,lo95,hi95,seed,replicates,method
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,nontrivial,TRR,40,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,nontrivial,FSRR,40,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,partial,accuracy,17,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,partial,TCE,17,0.29411764705882354,0,0.88235294117647056,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,partial,TRR,17,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,partial,FSRR,17,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,all,accuracy,80,0.029166666666666664,-0.0069444444444444449,0.0625,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,all,TCE,80,-0.57499999999999996,-1.325,0.1875,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,all,TRR,80,0.40000000000000002,0.28749999999999998,0.52500000000000002,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,all,FSRR,80,0.1875,0.10000000000000001,0.28749999999999998,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,nontrivial,accuracy,54,0.055555555555555566,0.008179012345679023,0.10082304526748971,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,nontrivial,TCE,54,-1.5,-2.4074074074074074,-0.59259259259259256,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,nontrivial,TRR,54,0.59259259259259256,0.44444444444444442,0.7407407407407407,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,nontrivial,FSRR,54,0.27777777777777779,0.14814814814814814,0.40740740740740738,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,partial,accuracy,23,-0.014492753623188408,-0.096618357487922704,0.048309178743961352,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,partial,TCE,23,-0.2608695652173913,-1.3043478260869565,0.73913043478260865,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,partial,TRR,23,0.17391304347826086,-0.043478260869565216,0.39130434782608697,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / bare,partial,FSRR,23,0.086956521739130432,-0.086956521739130432,0.2608695652173913,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,all,accuracy,80,0.030555555555555548,-0.0055555555555555566,0.063888888888888884,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,all,TCE,80,-0.57499999999999996,-1.325,0.1875,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,all,TRR,80,0.41249999999999998,0.29999999999999999,0.53749999999999998,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,all,FSRR,80,0.20000000000000001,0.1125,0.29999999999999999,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,nontrivial,accuracy,54,0.055555555555555566,0.008179012345679023,0.10082304526748971,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,nontrivial,TCE,54,-1.5,-2.4074074074074074,-0.59259259259259256,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,nontrivial,TRR,54,0.61111111111111116,0.46296296296296297,0.7592592592592593,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,nontrivial,FSRR,54,0.29629629629629628,0.16666666666666666,0.42592592592592593,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,partial,accuracy,23,-0.014492753623188408,-0.096618357487922704,0.048309178743961352,20260911,5000,post-hoc paired task-cluster percentile
